# Catalogo degli aeroporti: da codice IATA/ICAO a nome leggibile.
#
#   codice[/codice],forma breve,nome completo
#
# Questo file NON e' tuo: viene rifatto a ogni aggiornamento
# e le modifiche andrebbero perse. Le tue correzioni vanno in
# aeroporti.csv, che vince sempre su questo.
#
# Fonte: OurAirports (pubblico dominio). Scali, non eliporti.
# 18361 voci.
AAA/NTGA,Anaa,Anaa Airport
SVOJ,Ojo de Agua,Ojo de Agua Airport
SVOK,Oritupano,Oritupano Airport
SVOL,Santa Ana,Santa Ana San Roque Airport
SVOO,Hato El Rosero,Hato El Rosero Airport
SVOP,Los Oripopos,Los Oripopos Airport
SVOQ,Santa Mónica,Santa Mónica Airport
SVOR,San Ramón,San Ramón Airport
SVOS,Los Cocos,Los Cocos Airport
SVOT,San Pablo de,San Pablo de Barinas Airport
SVOW,Coco de Mono,Coco de Mono Airport
SVOZ,San Pablo Paeño,San Pablo Paeño Airport
SVP/FNKU,Kuito,Kuito Airport
SVPD,Hato La Ponderosa,Hato La Ponderosa Airport
SVPG,Pariaguán,Pariaguán Airport
SVPI,Ciudad Piar,Ciudad Piar Airport
SVPJ,Pesurca,Pesurca Airport
SVPK,Las Palmeras,Las Palmeras Airport
SVPN,Espino,Espino Airport
SVPO,Hato El Porvenir,Hato El Porvenir Airport
SVPS,San Pedro,San Pedro Hacienda La Pastora Airport
SVPV,Pedraza La Vieja,Pedraza La Vieja Airport
SVPW,Pedro María Freites,Pedro María Freites Pelayo Airport
SVPY,Palma Sola,Palma Sola Airport
SVPZ,La Paz,La Paz Airport
SVQ/LEZL,Seville,Seville Airport
SVQA,Santa Rosalía,Santa Rosalía Airport
SVQB,Santa Elena de Río,Santa Elena de Río Claro Airport
SVQC,Santa María La,Santa María La Tigra Airport
SVQD,Santa Juana,Santa Juana Airport
SVQI,Tucupido,Tucupido Airport
SVQJ,La Trinidad,La Trinidad de Apure Airport
SVQK,Tierra Negra,Tierra Negra Airport
SVQL,El Jabillal,El Jabillal Airport
SVQN,Torunos,Torunos Airport
SVQO,Tocuyito,Tocuyito Airport
SVQP,Miguelón,Miguelón Airport
SVQQ,Los Conucos,Los Conucos Airport
SVQS,San Fernando de,San Fernando de Apure Hato Santa Rita Airfield
SVQT,Los Quitasoles,Los Quitasoles Airport
SVQU,San Isidro,San Isidro Santa Rosa de Guanare Airport
SVQW,Tamatal,Tamatal Airport
SVQX,El Paso,El Paso Tamayare Airport
SVQY,Tapaquire,Tapaquire Airport
SVQZ,Santa Rosa de,Santa Rosa de Barinas Airport
SVRA,Río de Agua,Río de Agua Airport
SVRB,Tocópero,Tocópero Cumarebo Airport
SVRC,El Rocío,El Rocío Airport
SVRD,Coco de Mono,Coco de Mono El Remanso del Cinaruco Pedroc Airport
SVRE,Aracay Abajo,Aracay Abajo Airport
SVRG,La Leona,La Leona Rancho Grande de Apure Airport
SVRH,Rancho Grande de,Rancho Grande de Táchira Airport
SVRI,Caño Riecito,Riecito Airport
SVRK,Los Arrecifes,Los Arrecifes Airport
SVRL,San Pancracio,San Pancracio Airport
SVRM,Hato La Romereña,Hato La Romereña Airport
SVRQ,Rosetta,Rosetta Airport
SVRR,Carrao,Carrao Airport
SVRT,Corocito,Corocito Airport
SVRU,Roblecito,Roblecito Airport
SVRW,Rosario,Rosario Airport
SVRX,Hacienda Río Yaza,Hacienda Río Yaza Airport
SVRZ,El Corozo,El Corozo Airport
SVS,Stevens Village,Stevens Village Airport
SVSC,San Carlos Río,San Carlos Río Negro Airport
SVSD,Sabana Dulce,Sabana Dulce Airport
SVSF,San Antonio De,San Antonio De Falcon Airport
SVSG,Barinas,San Antonio De Barinas Airport
SVSH,San Juan de Río,San Juan de Río Claro Airport
SVSI,Haoo Piñero,Haoo Piñero Agropecuaria San Francisco Airport
SVSK,Nuestra Señora del,Nuestra Señora del Socorro Airport
SVSL,Hacienda Santa,Hacienda Santa Elena de Mirand Airport
SVSM,Punta de Mata,Santa Bárbara de Monagas Airport
SVSN,Sabaneta,Sabaneta Airport
SVSQ,San Leonardo,San Leonardo Airport
SVSU,San Benito,San Benito Airport
SVSW,San Francisco De,San Francisco De Carabobo Airport
SVSX,San Juan de los,San Juan de los Cayos Airport
SVSY,San Francisco de,San Francisco de Mérida Airport
SVT/FBSV,Savuti,Savuti Airport
SVTB,Turapa,Turapa Airport
SVTD,La Estacada,La Estacada Airport
SVTF,La Trinidad de,La Trinidad de Ferro Airport
SVTG,La Tigra,La Tigra Airport
SVTJ,central Matilde,Central Matilde Airport
SVTK,La Trinidad de,La Trinidad de Orichuna Airport
SVTN,La Trinidad de,La Trinidad de Barinas Airport
SVTO,Gurí,Gurí Tocomita Airport
SVTP,Playa Pintada,Playa Pintada Airport
SVTT,La Torta,La Torta Airport
SVTU,Turagua,Turagua Airport
SVTY,Las Mercedes del,Las Mercedes del Llano Toromacho Airport
SVU/NFNS,Savusavu,Savusavu Airport
SVUK,San Ignacio,San Ignacio Airport
SVUP,Upata,Upata Airport
SVUR,"Zaraza, Guárico","Zaraza, Guárico Cuenca de Unare Airport"
SVUY,Uruyen,Uruyen Airport
SVV,San Salvador de,San Salvador de Paul Airport
SVVB,Bajo Verde,Bajo Verde Airport
SVVD,Valle Grande,Valle Grande Airport
SVVH,Valle Hondo,Valle Hondo Airport
SVVK,Las Queseritas,Las Queseritas La Verdad Airport
SVVM,Buena Vista del,Buena Vista del Caño Medio Airport
SVVQ,Quebrada Arriba,Quebrada Arriba Venelac Airport
SVVR,Hato La Vergareña,Hato La Vergareña Airport
SVVS,Villa del Rosario,Villa del Rosario Airport
SVVV,Venepal,Venepal Airport
SVVX,Los Venados,Los Venados Airport
SVW/PASV,Sparrevohn,Sparrevohn LRRS Airport
SVWA,Santa Bárbara,Santa Bárbara Mata de Agua Airport
SVWB,La Bananera,La Bananera Airport
SVWE,Hacienda Bella,Hacienda Bella Vista Airport
SVWQ,Mijagual,Mijagual El Pardillero Airport
SVWX,El Recreo,El Recreo Airport
SVX/USSS,Yekaterinburg,Yekaterinburg Koltsovo Airport
SVXF,Hato Santa Clara,Hato Santa Clara Airport
SVXU,La Hoyda,La Guacamaya Airport
SVYA,Yaure,Yaure Airport
SVYG,El Yagual,El Yagual Airport
SVYI,El Yavi,El Yavi Airport
SVYP,Yopita,Yopita Airport
SVYT,Yutaje,Yutaje Airport
SVZ/SVSA,San Antonio del,San Antonio del Tachira Juan Vicente Gómez International Airport
SWA/ZGOW,Jieyang (Rongcheng),Jieyang Chaoshan International Airport
SWAA,Nova Crixás,Nova Crixás Fazenda Ykaraí Airport
SWAD,Bom Jesus de Goiás,Bom Jesus de Goiás Fazenda Santa Adelaide Airport
SWAE,Alto Alegre,Alto Alegre Uaicas Airport
SWAG,Mateiros,Mateiros Agrícola Rio Galhão Airport
SWAI,São José do Xingu,São José do Xingu Fazenda Alvorada I Airport
SWAJ,Santa Vitória do,Santa Vitória do Palmar Viatec Aviação Agrícola Airport
SWAK,São Gabriel da,São Gabriel da Cachoeira Assunção do Içana Airport
SWAM,Taquarituba,Taquarituba Fazenda Agropecuária Gomes Airport
SWAO,São Gabriel da,São Gabriel da Cachoeira Anamoim Airport
SWAR,Ribeirão Cascalheir,Ribeirão Cascalheira Fazenda Aruanã Airport
SWAU,Pirajuba,Pirajuba Fazenda Nossa Senhora Aparecida Airport
SWAX,Formosa do Rio,Formosa do Rio Preto Fazenda Sassapão Airport
SWAZ,São Gabriel da,São Gabriel da Cachoeira Santo Atanázio Airport
SWB,Shaw River,Shaw River Airport
SWBF,Pium,Pium Fazenda Boa Fortuna Airport
SWBI,Barreirinha,Barreirinha Airport
SWBJ,Canarana,Canarana Fazenda Itarema Airport
SWBK,São Desidério,São Desidério Fazenda Paladino Airport
SWBU,Peixoto de Azevedo,Peixoto de Azevedo Projeto Paraíba Airport
SWBV,Boa Vista,Boa Vista Auaris Airport
SWBX,Itiquira,Itiquira Fazenda Santo Antônio do Paraíso Airport
SWBY,Bom Jesus de Goiás,Bom Jesus de Goiás Fazenda Goiasa Airport
SWBZ,Sorriso,Sorriso JPO Airport
SWC/YSWL,Stawell,Stawell Airport
SWCB,Campos Belos,Campos Belos Airport
SWCC,Comodoro,Comodoro Fazenda Curitiba Airport
SWCE,Santo Antônio do,Santo Antônio do Leverger Fazenda Colibri Airport
SWCF,Comodoro,Comodoro Fazenda Fronteira do Guaporé Airport
SWCI,Posse,Posse Agropecuária Rio da Prata Airport
SWCJ,Formoso Do Araguaia,Formoso Do Araguaia Coperjava Airport
SWCM,Água Boa,Água Boa Fazenda Couto Magalhães Airport
SWCO,Cocalinho,Cocalinho Fazenda Continental Airport
SWCS,Cristal,Cristal Corticeiras Airport
SWCT,Poconé,Poconé Santa Rosa Pantanal Hotel Airport
SWCU,Formoso do Araguaia,Formoso do Araguaia Fazenda Canuanã Airport
SWCZ,Ceres,Ceres Airport
SWD/PAWD,Seward,Seward Airport
SWDC,Alto Garças,Alto Garças Fazenda Arco-Íris Airport
SWDE,São Miguel do,São Miguel do Araguaia Fazenda Piratininga Airport
SWDF,Novo Mundo,Novo Mundo Braço do Norte Airport
SWDJ,Barra do Garças,Barra do Garças Fazenda Tundavala Airport
SWDQ,Santo Antônio do,Fazenda Saltos do Poente Airport
SWDV,Cáceres,Cáceres Descalvados Lenda Turismo Airport
SWDY,Nova Crixás,Nova Crixás Fazenda Água Fria Airport
SWE/AYEW,Siwea,Siwea Airport
SWEA,Comodoro,Comodoro Fazenda Santiago de Compostela
SWEC,Aragarças,Aragarças Estância Araguaia Airport
SWED,Arapoema,Arapoema Fazenda Eldorado Airport
SWEE,Atalaia Do Norte,Estirão do Equador Airport
SWEF,Cocalinho,Cocalinho Fazenda Europa Airport
SWEM,Primavera Do Leste,Primavera Do Leste Emal - Empresa de Mineiração Aripuanã Ltda. Airport
SWEN,Alta Floresta,Alta Floresta Estância Recanto Airport
SWEO,Rorainópolis,Rorainópolis Itapara Sport Fishing Airport
SWEP,Sertaneja,Sertaneja Estância Punta del Este Airport
SWET,Sapezal,Sapezal Fazenda Encantado Airport
SWEU,Caracaraí,Caracaraí Ecotur Univini Park Airport
SWEW,Porto Esperidião,Porto Esperidião Fazenda Felicidade Airport
SWF/KSWF,Newburgh,Newburgh New York Stewart International Airport
SWFA,Cristalina,Cristalina Fazenda Pamplona Airport
SWFD,Ponta Porã,Ponta Porã Fazenda Dom Felipe Airport
SWFG,Barra Do Garças,Barra Do Garças Fazenda Guanabara Airport
SWFL,Santa Terezinha,Santa Terezinha Fazenda Peixe Bravo Airport
SWFN,Manaus,Manaus Flores Airport
SWFP,Porto Alegre Do,Porto Alegre Do Norte Fazenda Primavera Airport
SWFQ,Porto Nacional,Porto Nacional Fazenda Alvorada Airport
SWFR,Formosa,Formosa Airport
SWFT,Caiapônia,Caiapônia Fazenda Santa Márcia Airport
SWFU,Fortuna,Fortuna Airport
SWFV,Guapé,Guapé Terramare Airport
SWFZ,Alta Floresta,Alta Floresta Fazenda Shalon Airport
SWG/AYSW,Satwag,Satwag Airport
SWGC,Ponta Porã,Ponta Porã Agricenter Airport
SWGD,Goiandira,Goiandira Fazenda Maiador Airport
SWGH,Cáceres,Cáceres Fazenda Primavera Airport
SWGK,Ribeirão Cascalheir,Ribeirão Cascalheira Fazenda Sete Barras Airport
SWGO,Goianésia,Goianésia Santa Cecília Airport
SWGP,Palmeiras De Goiás,Palmeiras de Goiás Airport
SWGQ,Nova Olímpia,Nova Olímpia Fazenda Monte Alegre Airport
SWGT,Jandaia,Jandaia Fazenda Nova Airport
SWGU,Sandolândia,Sandolândia Fazenda Água Fria Airport
SWGV,Água Boa,Água Boa Fazenda Cocal II Airport
SWGW,Jussara,Jussara Fazenda Santa Rita do Araguaia Airport
SWGZ,Nova Olímpia,Nova Olímpia Usinas Itamarati Airport
SWH/YSWH,Swan Hill,Swan Hill Airport
SWHD,Naviraí,Naviraí Fazenda Ipuitã Airport
SWHL,Campo Verde,Campo Verde Fazenda Marabá Airport
SWHM,Alcinópolis,Alcinópolis Lobo Agropecuaria Airport
SWHQ,Vila Bela Da,Vila Bela Da Santíssima Trindade Fazenda Santa Cruz Airport
SWHR,Presidente Epitácio,Presidente Epitácio Estância Rio Paraná Airstrip
SWHS,Maurilândia,Maurilândia Fazenda São João Airport
SWHU,Racharia,Racharia Fazenda Izaura - Usina Cocal Airport
SWHZ,Carlinda,Carlinda Fazenda Taquaruçu Retiro Airport
SWIB,Nova Santa Helena,Fazenda Santa Laura Airport
SWIC,Nova Mutum,Nova Mutum Fazenda Rancho Alegre Airport
SWIE,Mundo Novo,Mundo Novo Fazenda São Francisco Airport
SWIH,Novo São Joaquim,Novo São Joaquim Fazenda Felicidade Airport
SWIK,Cocalinho,Cocalinho Fazenda Vanguarda Airport
SWIL,Pedra Preta,Pedra Preta Fazenda Tarumã Airport
SWIM,Montes Claros De,Montes Claros De Goiás Fazenda Três Ranchos Airport
SWIN,Campo Novo Do,Campo Novo Do Parecis Fazenda Itamarati Norte Airport
SWIP,Ipameri,Ipameri Airport
SWIS,Caseara,Caseara Caiapo Airport
SWIT,Santa Terezinha de,Condomínio de Voo Itaipu - CVI Airport
SWIU,Aripuanã,Aripuanã Agropecuári Madeirinha Airport
SWIV,Almeirim,Almeirim Águia Branca do Paru Airport
SWIX,Itiquira,Itiquira Fazenda SM-3B Airport
SWIZ,Nova Alvorada do,Nova Alvorada do Sul Fazenda 7 Reis Airport
SWJ/NVSX,Malekula Island,Malekula Island Southwest Bay Airport
SWJA,Brusque,Brusque Fazenda Aero – Amil Airport
SWJB,Tangará Da Serra,Tangará Da Serra Fazenda Juba Airport
SWJC,Jaciara,Jaciara Airport
SWJD,São Domingos,São Domingos Fazenda Genipapo Airport
SWJE,Baliza,Baliza Fazenda Ibia Airport
SWJF,Juruena,Juruena Fazenda São Marcelo Airport
SWJG,Arenápolis,Arenápolis Fazenda Jaraguá Airport
SWJH,Tapejara,Tapejara Sementes Beé Airport
SWJI,Baixa Grande do,Baixa Grande do Ribeiro Fazenda Maringá Airport
SWJL,Itajá,Itajá Fazenda Invernada Airport
SWJM,Novo Alegre,Novo Alegre Fazenda Bom Jesus Airport
SWJP,Japurá,Japurá Bittencourt Airport
SWJQ,Selvíria,Selvíria Fazenda Colibri Airport
SWJT,São Félix do,Joatão do Colorado Airport
SWJU,Dueré,Dueré Fazenda Mundo Novo Airport
SWJV,Atalaia Do Norte,Palmeiras do Javari Airport
SWJX,Prudente de Morais,Prudente de Morais Fazenda das Perobas Airport
SWJY,Alto Garças,Alto Garças Fazenda Campo Alegre III Airport
SWJZ,Juscimeira,Juscimeira Fazenda Morro Vermelho Airport
SWKA,Jussara,Jussara Fazenda Canadá Airport
SWKB,Boca Do Acre,Boca Do Acre Fazenda Campina Airport
SWKE,Formoso Do Araguaia,Formoso Do Araguaia Cobrape Airport
SWKG,Nova Ubiratã,Nova Ubiratã Fazenda Água Limpa Airport
SWKJ,Dom Aquino,Dom Aquino Fazenda Mutum Airport
SWKL,Alto Alegre Dos,Alto Alegre Dos Parecis Fazenda Primavera do Terebinto Airport
SWKM,Tangará Da Serra,Tangará Da Serra Aero Agrícola Rondon Airport
SWKP,Pontes E Lacerda,Pontes E Lacerda Chácara Veneza Airport
SWKR,Itarumã,Itarumã Fazenda Mangue Che II Airport
SWKU,São Gabriel da,São Gabriel da Cachoeira Cucuí Airport
SWKV,Itaúba,Itaúba Fazenda Beira Rio Airport
SWKX,Cáceres,Cáceres Corixá Airport
SWKY,Cristais Paulista,Cristais Paulista Fazenda Recanto da Cachoeira Airport
SWKZ,Brasnorte,Brasnorte Fazenda Cerejal Airport
SWL/RPSV,San Vicente,San Vicente Airport
SWLA,Juína,Juína Fazenda Amália Airport
SWLD,Januária,Januária Porto Cajueiro Airport
SWLF,São José Dos,São José Dos Quatro Marcos Fazenda Dona Laura Airport
SWLN,Sapezal,Sapezal Fazenda Franciosi Airport
SWLP,Aripuanã,Aripuanã Fazenda Rosa - Paralelo 10 Airport
SWLQ,Manicoré,Manicoré Fazenda Mata Velha Airport
SWLR,Pontes E Lacerda,Pontes E Lacerda Fazenda Miura Airport
SWLS,Palotina,Palotina Fazenda São Luís Airport
SWLT,Marcelândia,Marcelândia Fazenda Tatiana Airport
SWLU,Glorinha,Glorinha CAVOK Airstrip
SWLV,Santo Antônio Do,Santo Antônio do Lerverger Airport
SWLY,Andradina,Andradina Chácara MCL Airport
SWMA,Barreiras,Barreiras Aero Agrícola Fulanete Airport
SWMB,Goiatuba,Goiatuba Fazenda Marimbondo Airport
SWMC,Luís Antônio,Luís Antônio Capão da Cruz Airport
SWME,Mineiros,Mineiros Airport
SWMG,Monte Alegre De,Monte Alegre De Goiás Fazenda Caraíbas Airport
SWMH,Itapirapuã,Itapirapuã Fazenda Bom Pastor Airport
SWMJ,Corumbá,Corumbá Pousada Xaraés Airport
SWMK,São Gabriel da,São Gabriel da Cachoeira Maturacá Airport
SWMN,Matrinchã,Matrinchã Fazenda Montana Airport
SWMO,Itiquira,Itiquira Fazenda Maria José Airport
SWMQ,Aripuanã,Aripuanã Fazenda Muiraquitã Airport
SWMT,Nova Ubiratã,Nova Ubiratã Fazenda Centro da Mata Airport
SWMU,Pacaraima,Pacaraima Surumu Airport
SWMV,Mucajaí,Mucajaí Paa-Piu Airport
SWMX,Morrinhos,Morrinhos Airport
SWMY,Barra Do Garças,Barra Do Garças Porto Fluvial Suiá Missu Airport
SWMZ,Rondonópolis,Rondonópolis Aeroporto Agroer Aviação
SWN/VISP,Sherpur Naqeebpur,Sherpur Naqeebpur Sarsawa Air Force Station
SWNE,Nova Viçosa,Nova Viçosa Nelson Saldanha Airport
SWNG,Sorriso,Sorriso Fazenda Nossa Senhora das Graças Airport
SWNH,Aruanã,Aruanã Airport
SWNI,Cacaulândia,Cacaulândia Nova Vida Airport
SWNJ,Novo São Joaquim,Novo São Joaquim Fazenda Itaquerê Airport
SWNU,Ipixuna do Pará,Ipixuna do Pará Fazenda Maringá Airport
SWNV,Goiânia,Goiânia Aeródromo Nacional de Aviação
SWNX,Santo Antônio do,Santo Antônio do Leste Fazenda Independência Airport
SWO/KSWO,Stillwater,Stillwater Regional Airport
SWOA,Goianira,Goianira Arnapar Airport
SWOC,Caracol,Caracol Fazenda São Bento do Bocajá Airport
SWOE,Cáceres,Cáceres Fazenda Duas Lagoas Airport
SWOG,São José Do Rio,São José Do Rio Claro Fazenda Itaipu Airport
SWOK,Itiquira,Itiquira Fazenda Pontal Airport
SWOL,Barra Do Garças,Barra Do Garças Fazenda Roncador Airport
SWON,Araquari,Araquari Clube de Aviação Céu Azul Airport
SWOP,Nova Monte Verde,Nova Monte Verde Fazenda Embú Airport
SWOR,Britânia,Britânia Fazenda Colorado Airport
SWOT,Sapezal,Sapezal Fazenda Planorte Airport
SWOW,Moura,Moura Airport
SWOZ,Campo Verde,Campo Verde Fazenda Santo Antônio Airport
SWP/FYSM,Swakopmund,Swakopmund Municipal Aerodrome
SWPB,Costa Marques,Costa Marques Forte Príncipe da Beira Airport
SWPC,São Gabriel da,Parí Cachoeira Airport
SWPD,Cantá,Cantá Pouso da Águia Airport
SWPE,Carlinda,Carlinda Fazenda Lagoa da Mata Airport
SWPF,Pimenteiras do,Pimenteiras do Oeste Fazenda Primavera Airport
SWPH,Barra do Garças,Barra do Garças Fazenda Paulo Abreu Airport
SWPK,Poconé,Poconé Airport
SWPL,Chapada Dos Guimarã,Chapada Dos Guimarães Posto Leonardo Vilas Boas Airport
SWPP,Mozarlândia,Mozarlândia Fazenda Pica-Pau Airport
SWPR,Pires do Rio,Pires do Rio Airport
SWPX,Belterra,Belterra Airport
SWPY,Primavera Do Leste,Primavera do Leste Airport
SWPZ,Posse,Posse Oriçanga de Abreu Airport
SWQ/WADS,Sumbawa Besar,Sumbawa Besar Sultan Muhammad Kaharuddin III Airport
SWQC,Rio Verde,Rio Verde Fazenda São Francisco Airport
SWQE,São Gabriel da,São Gabriel da Cachoeira Querari Airport
SWQG,Maracaju,Maracaju Fazenda Sossego Airport
SWQH,Aripuanã,Aripuanã Agropecuária Nova Santana Airport
SWQI,Caracaraí,Caracaraí Airport
SWQL,Doverlândia,Doverlândia Fazenda Três Companheiros Airport
SWQO,Frutal,Frutal Fazenda Renascença Airstrip
SWQP,Junqueirópolis,Junqueirópolis Rio Vermelho Açucar e Álcool Airport
SWQS,Ribas do Rio Pardo,Ribas do Rio Pardo Fazenda Santa Rosa
SWQT,Cotriguaçu,Cotriguaçu Fazenda São Nicolau Airport
SWQU,Vila Bela da,Vila Bela da Santíssima Trindade Fazenda Guaporé Airport
SWQW,Alta Floresta,Alta Floresta Fazenda Bacaeri Airport
SWQY,Porto de Moz,Porto de Moz Fazenda Peturú Airport
SWR/AYZI,Silur Mission,Silur Airport
SWRA,Nova Monte Verde,Nova Monte Verde Fazenda Bela Vista Airport
SWRC,Ribeirão Cascalheir,Ribeirão Cascalheira Fazenda Sevilha Airport
SWRD,Alto Garças,Alto Garças Chácara Rondoagro Airport
SWRE,Alto Garças,Alto Garças Fazenda Renovo Airport
SWRF,Brasnorte,Brasnorte Fazenda Toloza Airport
SWRG,Guajará-Mirim,Guajará-Mirim Fazenda Rancho Maria e Tereza Airport
SWRH,São Desidério,São Desidério Fazenda Aurora Airport
SWRI,Querência,Querência Fazenda Roncador I Airport
SWRJ,Rosário Oeste,Rosário Oeste Fazenda Panflora Airport
SWRL,Corumbiara,Corumbiara Fazenda Pouso Redondo Airport
SWRO,Porto Velho,Porto Velho Aeroclube de Rondônia Airport
SWRR,Planalto Da Serra,Fazenda Serra Azul Airport
SWRS,Rondonópolis,Rondonópolis Fazenda Santa Mônica Airport
SWRT,Santa Rita Do,Fazenda Santa Rita Airport
SWRW,Mirassol D`Oeste,Mirassol D`Oeste Fazenda Santa Alice Airport
SWRY,Porto Estrela,Porto Estrela Fazenda Santa Maria Airport
SWRZ,Nortelândia,Nortelândia Fazenda Arrossensal Airport
SWS/EGFH,Swansea,Swansea Airport
SWSC,São Félix Do,São Félix Do Araguaia Fazenda Santa Cruz Airport
SWSD,Araguaiana,Araguaiana Fazenda Santo Antônio Airport
SWSF,Vila Bela Da,Vila Bela Da Santíssima Trindade Fazenda São Francisco Airport
SWSG,Campos De Júlio,Campos De Júlio Fazenda Simarelli Airport
SWSI,Jacareacanga,Jacareacanga Pousada Amazônia Fishing Lodge Airstrip
SWSN,Pontes e Lacerda,Pontes e Lacerda Fazenda São Valentim Airport
SWSP,Paranatinga,Paranatinga Sopave Norte Airport
SWSQ,São Gabriel da,São Joaquim Airport
SWSV,Cocalinho,Cocalinho Fazenda Santa Sílvia Airport
SWSZ,Nova Bandeirantes,Nova Bandeirantes Fazenda Santa Luzia Airport
SWT/UNSS,Strezhevoy,Strezhevoy Airport
SWTA,Araputanga,Araputanga Fazenda Bandeirantes Airport
SWTG,Santo Antônio do,Santo Antônio do Aracanguá Fazenda Santa Marina Airport
SWTH,Bonfim,Bonfim Fazenda Smith Airport
SWTI,Nova Lacerda,Nova Lacerda São Vicente Airport
SWTJ,Tangará da Serra,Tangará da Serra Fazenda Cachoeira Airport
SWTK,Vila Bela da,Vila Bela da Santíssima Trindade Fazenda Santa Maria do Guaporé Airport
SWTL,Pimenta Bueno,Pimenta Bueno Fazenda Corumbiara Airport
SWTN,Araputanga,Araputanga Fazenda Arapucel Airport
SWTO,Paraíso Do Tocantin,Paraíso do Tocantins Airport
SWTQ,Rio Quente,Rio Quente Resorts Airport
SWTR,São Gabriel da,São Gabriel da Cachoeira Taraquá Airport
SWTV,Salto do Céu,Salto do Céu Fazenda Rio Preto Airport
SWTY,Taguatinga,Taguatinga Airport
SWTZ,Ribas do Rio Pardo,Ribas do Rio Pardo Fazenda Santo Antônio - Zampieri Airport
SWU/RKSW,Suwon,Suwon Airport
SWUD,Cláudio,Cláudio Airport
SWUE,Nova Canaã do Norte,Nova Canaã do Norte Fazenda Tapayuna Airport
SWUK,São Gabriel da,Uapuí Cachoeira Airport
SWUL,Ananás,Ananás Fazenda Furna Azul Airport
SWUQ,Alto Alegre,Alto Alegre Surucucu Airport
SWUR,Palmeira Do Piauí,Palmeira Do Piauí Fazenda Vista Verde Airport
SWUW,Barra do Bugres,Barra do Bugres Fazenda Okuhara Airport
SWUX,Abreulândia,Abreulândia Fazenda 4 Amigos Airport
SWUZ,Luziânia,Luziânia Brigadeiro Araripe Macedo Airport
SWV/UHMW,Evensk,Severo-Evensk Airport
SWVF,Vila Bela da,Vila Bela da Santíssima Trindade Fazenda Santo Antônio Guaporé Airport
SWVH,Alta Floresta,Alta Floresta Fazenda Vaca Branca Airport
SWVJ,Nova Mutum,Nova Mutum Fazenda Uiapuru Airport
SWVK,Nova Ubiratã,Nova Ubiratã Fazenda Vale do Rio Celeste Airport
SWVN,Comodoro,Comodoro Nova Era & Thomazi Agropecuárias Airport
SWVS,Vila Bela da,Vila Bela da Santíssima Trindade Baia do Padre Airport
SWVU,Rio Brilhante,Rio Brilhante Fazenda Ramalhete Airport
SWVV,Vila Bela da,Fazenda Bela Vista Airport
SWVW,Formiga,Formiga Furnaspark Resort Airport
SWVX,Aripuanã,Aripuanã Fazenda Guariba Airstrip
SWVY,Corumbá,Corumbá Fazenda Carvalho Airport
SWVZ,Nobres,Nobres EMAL - Empresa de Mineração Aripuanã Ltda Airport
SWW/KSWW,Sweetwater,Sweetwater Avenger Field
SWWA,Porangatu,Porangatu Airport
SWWE,Piên,Piên M. Baumann Airfield
SWWF,Cáceres,Cáceres Hotel Baiazinha Airport
SWWG,Quirinópolis,Quirinópolis Fazenda Canamari Airport
SWWH,Angélica,Angélica Fazenda Marca Salto Airstrip
SWWI,General Carneiro,General Carneiro Fazenda Fortaleza Airport
SWWM,Mantena,Mantena Airport
SWWN,Alta Floresta,Alta Floresta Fazenda Santa Amália Airport
SWWT,Morada Nova de,Sílvio Gonçalves de Mello Airport
SWWU,Uruaçu,Uruaçu Airport
SWWV,Barão de Melgaço,Posto de Proteção Ambiental Santa Maria Airport
SWWW,Barão de Melgaço,Posto de Proteção Ambiental São Luiz Airport
SWWX,Barão de Melgaço,Posto de Proteção Ambiental São Joaquim Airport
SWWY,Barão de Melgaço,Posto de Proteção Ambiental Espírito Santo Airport
SWWZ,Cascavel,Cascavel Darinha Airport
SWX/FBSW,Shakawe,Shakawe Airport
SWXA,Jussara,Jussara Fazenda Canadazinho Airport
SWXB,Campo Verde,Campo Verde Fazenda Jangada Airstrip
SWXC,Cerejeiras,Cerejeiras Fazenda Tropical Airport
SWXE,Campinápolis,Campinápolis PCH Paranatinga II Airport
SWXH,São Desidério,Fazenda São Sebastião Airport
SWXJ,Cuiabá,Cuiabá Chácara São José Airport
SWXN,Montividiu,Montividiu Fazenda Bom Jardim Airport
SWXO,São Félix do Xingu,São Félix do Xingu Fazenda Porto Seguro Airport
SWXP,Sapezal,Sapezal Fazenda Santa Luzia Airport
SWXS,Pontes e Lacerda,Pontes e Lacerda Fazenda São João do Ibiporã Airport
SWXT,Vila Bela da,Vila Bela da Santíssima Trindade Fazenda Medalha Milagrosa Airport
SWXU,Xapuri,Xapuri Airport
SWXW,Pontes E Lacerda,Pontes E Lacerda Fazenda São João do Guaporé Airport
SWXX,Uberlândia,Uberlândia Fazenda Canadá Airport
SWXY,Santa Terezinha,Santa Terezinha Fazenda Vô Zeca Airport
SWXZ,Comodoro,Comodoro Fazenda Taquarussu Airport
SWY/WMBA,Sitiawan,Sitiawan Airport
SWYC,Mirassol d`Oeste,Mirassol d`Oeste Jair Feliciano de Deus Airport
SWYE,Alegrete,Alegrete Fazenda São Lourenço Airstrip
SWYH,Araputanga,Araputanga Fazenda Aliança Airport
SWYK,Poconé,Poconé Fazenda Ilha Camargo Airport
